Modernize,Incremental Rewrite,Big Bang Rewrite,Layer Sequence,Support,Existing Apps,Data Service,Data Model,App Framework,Monitor,New Database,Pnp Framework,Documentation,Regression Test,Number Tiers,Data Service(7),Comprehensive Data Model,Extensible Data Model(16/19),Specific Data Model,App Framework(6),Monitor(11),ServiceLayer,2 Tier,3 Tier,Tiers w/ Service,Choose Doc Tool,J2EE Specification,Access Control Assessed,Access Control Pilot,Monitoring Pilot,Documentation Tool,Create Test Environment,Choose Candidate System,Data Service Spec,Data Service Pilot,Svc layer w/ extracted biz logic in DB(12),Svc layer w/ extracted biz logic(13),DB Vendor Test Env,General Test Env,Bakeoff Result,Provide logical data scheme internally(8),Define data model for all shared data(15),Define ext mandatory data std(18),External clients get exactly what they request(10),XXX coordinates and internal client does whatever(17),XXX coordinates and external client does whatever(20),Build internal extensible data model(16),External data model can be extended(19),Data Model Pilot,Quick Feature Delivery,Good Example of Agile Government development,Easily Share Data W/ Partners,Easily Share Data Internally,?cost,?benefit,?softgoals
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,-1,1,,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,,-1,1,,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,,-1,1,,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,-1,1,1,,-1,1,,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,-1,1,1,,-1,1,,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,38.77,63.309999999999995,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,36.83,61.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36.83,61.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,36.83,61.309999999999995,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,36.83,61.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,36.83,61.309999999999995,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,36.83,61.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,36.83,61.309999999999995,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,,1,1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,,1,-1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,1,1,,-1,1,,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,,1,1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,42.22,66.06,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,,-1,1,,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,42.22,66.06,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,1,1,,-1,1,,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,,-1,-1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,42.22,66.06,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,1,,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,1,1,1,1,40.28,64.06,4
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,,-1,1,1,1,1,1,40.28,64.06,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,,1,-1,1,1,1,1,40.28,64.06,4
1,1,,,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,40.28,64.06,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,36.839999999999996,60.55,4
1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,,,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,,1,1,1,1,1,1,46.2,64.94000000000001,4
1,1,,,1,1,1,1,1,1,-1,1,1,1,1,1,,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,,1,1,1,1,1,1,46.2,64.94000000000001,4
1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,44.26,62.940000000000005,4
1,,1,1,,,,,,,1,-1,,,,,,,,,,,-1,1,,,-1,1,1,1,-1,,,1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,,1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,1,1,,,1,1,-1,-1,-1,,,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,,1,1,,,,,9.01,8.63,0
1,-1,1,1,1,-1,,,,,1,-1,1,1,1,,,,,,,,-1,1,,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,1,-1,-1,1,1,1,1,1,1,1,1,1,,1,-1,,,,,9.01,8.63,0
1,-1,1,1,-1,,,,,,1,1,-1,,,,,,,,,,-1,-1,,-1,-1,-1,-1,-1,-1,,,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,-1,1,,,-1,1,1,1,1,,,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,,1,1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,1,-1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,1,-1,,,1,1,1,1,1,,,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,,1,1,,,,,9.01,8.63,0
1,-1,1,1,1,1,-1,,,,1,-1,1,1,1,-1,,,,,,,1,1,,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,,1,1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,-1,1,,,1,1,1,1,1,,,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,,1,1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,-1,-1,,,-1,1,1,1,1,,,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,-1,1,,,1,1,1,1,1,,,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,-1,1,,,1,1,1,1,1,,,1,1,-1,-1,1,1,1,1,1,1,1,1,1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,-1,-1,,,-1,1,1,1,-1,,,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,-1,1,,,-1,-1,1,-1,1,,,1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,,-1,1,,,,,9.01,8.63,0
1,-1,1,1,1,-1,,,,,1,1,1,1,-1,,,,,,,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,,-1,-1,,,,,9.01,8.63,0
1,-1,1,1,-1,,,,,,1,-1,-1,,,,,,,,,,1,-1,,-1,1,1,1,1,-1,,,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,,1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,,1,1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,,1,1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,-1,1,,,1,1,1,1,1,,,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,,1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,1,-1,,,-1,1,1,-1,1,,,-1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,-1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,1,-1,,,1,1,1,1,1,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,9.01,8.63,0
1,-1,1,1,1,1,-1,,,,1,1,1,1,1,-1,,,,,,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,9.01,8.63,0
1,-1,1,1,-1,,,,,,1,1,-1,,,,,,,,,,1,-1,,-1,-1,1,1,1,-1,,,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,,-1,-1,,,,,9.01,8.63,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,,-1,-1,,,,,9.01,8.63,0
1,-1,1,1,-1,,,,,,1,1,-1,,,,,,,,,,-1,-1,,-1,1,1,1,1,-1,,,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,,1,-1,,,,,8.76,6.83,0
1,,1,1,,,,,,,-1,1,,,,,,,,,,,-1,-1,,,-1,-1,-1,1,-1,,,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,,1,1,,,,,8.76,6.83,0
1,,1,1,,,,,,,1,1,,,,,,,,,,,1,-1,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1,-1,,,,,8.76,6.83,0
1,,1,1,,,,,,,-1,1,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,-1,1,-1,1,1,1,1,1,1,1,1,1,,1,1,,,,,8.76,6.83,0
